"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\types\express.d.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\fetchReplies.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 11, 69
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\formValidation.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\getUserIdFromToken.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\jwtUtils.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\storageConfig.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\src\utils\userUtils.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig-paths-bootstrap.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\.eslintrc.cjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 9, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 3715, 0, 0, 0, 0, 1, 3716
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\GlobalStyles.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 16, 116
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\PageWrapper.styled.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\api\api.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 1, 16, 97
"d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\assets\blogContent.ts", "TypeScript", 0, 0, 143, 0, 0, 0, 0, 0, 0, 2, 145
